,Buyers,w,b
0,0,[[ 0.68056413 -0.09604308  0.50197763]],[[0.01658207]]
1,1,[[-0.01143923  0.09381542  0.71185691]],[[0.01972026]]
2,2,[[ 0.01120093 -0.00477785  0.79860156]],[[0.00132062]]
0,0,[[ 0.68113535 -0.09586107  0.50145459]],[[0.01694362]]
1,1,[[-0.01126294  0.09375407  0.71166439]],[[0.01959841]]
2,2,[[ 0.01120281 -0.0047799   0.79860091]],[[0.00131932]]
0,0,[[ 0.6810974  -0.09580744  0.50151105]],[[0.01702625]]
1,1,[[-0.01136678  0.09365545  0.71173419]],[[0.01944645]]
2,2,[[ 0.01122325 -0.00479364  0.79862032]],[[0.00134923]]
0,0,[[ 0.6809316  -0.09571307  0.50162999]],[[0.01714939]]
1,1,[[-0.01123772  0.09375785  0.71155428]],[[0.01958007]]
2,2,[[ 0.01111207 -0.00463867  0.79853211]],[[0.00123412]]
0,0,[[ 0.68092233 -0.09571978  0.50159603]],[[0.01702647]]
1,1,[[-0.01122238  0.09376088  0.71155847]],[[0.01963559]]
2,2,[[ 0.01109146 -0.00464429  0.79852804]],[[0.00115948]]
